"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRMZM2G059865",7092.21680622905,1.66732671015123,0.336276851376033,4.9581965078137,7.1150577709326e-07,5.65434490102828e-06
"GRMZM5G888250",61.4652426741119,2.63470119403967,1.01678754545082,2.59120128470054,0.00956415328770467,0.0325021665491767
"GRMZM2G093344",155.127248931398,0.366801582917766,0.74878432373903,0.489862796654388,0.624230990580064,0.871542510843977
"GRMZM2G093399",233.026026456455,0.37828066092798,1.24950857758898,0.302743548714088,0.762085307126857,0.966406544436825
"GRMZM5G809743",204.40331335837,0.804898630416841,1.11919445669586,0.71917674859926,0.472032023717387,0.737239750967943
"GRMZM5G833153",165.561968427443,-0.897176729706013,1.06592381641555,-0.841689355176442,0.399961858183534,0.662431200427101
"GRMZM2G306216",6.80405871203076,-1.10279790303389,0.935480277534092,-1.1788574591234,0.238454939757739,0.458994804160177
"AC177838.2_FG015",23.8772905717137,2.02049561726576,1.13423718500006,1.78136957947261,0.0748520944696628,0.184421638801628
"GRMZM2G104572",4.0310194932648,1.59987762298028,1.71914090961141,0.930626229668347,0.35204694155241,0.606854446900439
"GRMZM5G822187",2.34320188761073,1.14050346920465,1.42719933318131,0.799119956609288,0.424220858903188,0.688276276116572
"GRMZM5G815900",0,NA,NA,NA,NA,NA
"GRMZM2G023794",38.4377973620717,2.21423186667776,1.07966635118806,2.05084826830181,0.0402817253070578,0.110878329103079
"GRMZM2G023863",121.174349023165,1.38948688758509,0.401692164524115,3.45908387142979,0.000542016096412043,0.00253697129918502
"GRMZM2G137648",0,NA,NA,NA,NA,NA
"GRMZM2G137697",0,NA,NA,NA,NA,NA
"GRMZM2G408834",124.838648513299,1.46939514602536,0.766969309927246,1.91584608015769,0.0553846904084671,0.144177680184573
"GRMZM2G108663",0.0857315045350747,-0.238513352097064,1.95859555626474,-0.121777745964019,0.903075038905629,1
"AC204887.4_FG003",0.0495784067495105,0,1.95859555626474,0,1,1
"GRMZM2G471814",9.93648019280297,0.244834775467219,1.59111200554368,0.153876518192419,0.87770709933764,1
"GRMZM2G330436",276.795090782569,-0.812884520710888,0.378181613698658,-2.14945542370711,0.0315983160375082,0.0905092342150048
"GRMZM2G032104",805.862566167183,0.550215320288546,0.343941698203176,1.59973426648466,0.109657546699002,0.250831730352973
"GRMZM2G333069",0,NA,NA,NA,NA,NA
"GRMZM2G399700",273.406504708589,2.1977712753682,0.631686674505112,3.47921107737475,0.000502892314751111,0.00237058652394322
"GRMZM2G703460",0,NA,NA,NA,NA,NA
"GRMZM2G474694",111.149609966893,0.0735253792687963,1.09992209721194,0.066845987961481,0.946704312158218,1
"GRMZM2G172183",43.9806354533518,0.687395014855369,0.632133876004794,1.08741999273925,0.276851239487228,0.512324172660889
"GRMZM2G073979",706.160314627946,0.431733084102315,0.468944345229573,0.920648875488539,0.357233775890528,0.613062908196937
"GRMZM2G374777",4.98877169457251,-2.41629550837222,1.2454918745274,-1.94003313693964,0.0523756628668752,0.137734880874013
"GRMZM2G374779",407.602002874696,0.548137078891608,0.731441164636596,0.749393260036082,0.453620212117417,0.718473031100109
"GRMZM2G374812",17.4387769997838,0.179315031678525,1.06842481552627,0.167831211960572,0.866716067168132,1
"GRMZM2G052586",63.9793967937125,-1.27553670738623,0.811890071256344,-1.57107070592996,0.116166226131482,0.26261045149146
"GRMZM2G483779",115.476235214631,-0.108652642130531,0.606700260736341,-0.17908784479285,0.85786872616213,1
