"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRMZM2G059865",7092.21680622905,0.921506929552531,0.336371935311804,2.73954760434556,0.00615238043768719,0.0221081729141753
"GRMZM5G888250",61.4652426741119,-5.96196032289863,1.35433846435075,-4.40211991302832,1.0719827830342e-05,7.01035394552377e-05
"GRMZM2G093344",155.127248931398,-0.0605386617560603,0.750945570231191,-0.0806165774936558,0.935746882182989,1
"GRMZM2G093399",233.026026456455,-0.206645338454849,1.25000798575106,-0.165315214630959,0.868695884038459,1
"GRMZM5G809743",204.40331335837,2.00865494084736,1.11418597182061,1.80280042259478,0.0714195637980172,0.177452926547524
"GRMZM5G833153",165.561968427443,2.25024916838496,1.00902380557577,2.2301249543869,0.0257391485808714,0.0761121952308346
"GRMZM2G306216",6.80405871203076,-1.26111641315999,0.955128271282066,-1.32036340152218,0.186713716735284,0.380904251431735
"AC177838.2_FG015",23.8772905717137,2.6711714030822,1.13250724806551,2.3586351501458,0.0183422794102831,0.0570141238378617
"GRMZM2G104572",4.0310194932648,1.08812580655371,1.75555876459219,0.619817364419855,0.535378035152566,0.796178789238661
"GRMZM5G822187",2.34320188761073,1.92047251888271,1.41057080463381,1.361486082495,0.173360128789513,0.359637321399142
"GRMZM5G815900",0,NA,NA,NA,NA,NA
"GRMZM2G023794",38.4377973620717,-2.98707176746156,1.15402226626152,-2.58840046227031,0.00964228098311576,0.0327316715369979
"GRMZM2G023863",121.174349023165,1.12679860612847,0.403764748952875,2.79073051585289,0.00525892374855206,0.0192554646796354
"GRMZM2G137648",0,NA,NA,NA,NA,NA
"GRMZM2G137697",0,NA,NA,NA,NA,NA
"GRMZM2G408834",124.838648513299,-2.19622115858309,0.789136197197004,-2.78306985078624,0.0053847211842542,0.019657480415176
"GRMZM2G108663",0.0857315045350747,-0.104576105565512,1.95859555626474,-0.0533934151086048,0.95741845171283,1
"AC204887.4_FG003",0.0495784067495105,0,1.95859555626474,0,1,1
