"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRMZM2G059865",7092.21680622905,1.94192576867043,0.336391739429683,5.7728105094458,7.79600982772696e-09,8.14978563723726e-08
"GRMZM5G888250",61.4652426741119,1.9259458682957,1.02248090827221,1.88360081123682,0.0596189920513221,0.15309350630891
"GRMZM2G093344",155.127248931398,0.585181082129509,0.749465699273223,0.780797683865953,0.434921496510688,0.699720903344213
"GRMZM2G093399",233.026026456455,0.21944659798824,1.24936028858549,0.175647169189837,0.860571142740323,1
"GRMZM5G809743",204.40331335837,2.46514254366586,1.1320127618197,2.17766320911715,0.029431119885602,0.0852523952782686
"GRMZM5G833153",165.561968427443,0.476729959331725,1.05840999990567,0.450420876006665,0.652406995024609,0.893130568928732
"GRMZM2G306216",6.80405871203076,-0.818439455888278,0.982787817810383,-0.832773301679433,0.404972594751218,0.667839297147041
"AC177838.2_FG015",23.8772905717137,5.32703263990093,1.21907081316317,4.36974832173913,1.2438981650187e-05,8.03908073585814e-05
"GRMZM2G104572",4.0310194932648,-2.25641428377053,1.6560400526954,-1.36253605708265,0.17302877294723,0.359106582930772
"GRMZM5G822187",2.34320188761073,-3.35197769025992,1.4157586687767,-2.36761940024442,0.0179029422486438,0.0558393597107428
"GRMZM5G815900",0,NA,NA,NA,NA,NA
"GRMZM2G023794",38.4377973620717,3.34143462214955,1.11185320441293,3.00528397893484,0.0026533299549564,0.0105083577022867
"GRMZM2G023863",121.174349023165,1.09743420976262,0.408400018369245,2.68715514300101,0.00720634727517948,0.0254010529685756
"GRMZM2G137648",0,NA,NA,NA,NA,NA
"GRMZM2G137697",0,NA,NA,NA,NA,NA
"GRMZM2G408834",124.838648513299,1.19292815182802,0.766281940467736,1.55677445706193,0.119524043685527,0.268580466027625
"GRMZM2G108663",0.0857315045350747,-0.463347756447061,1.95859555626474,-0.23657143250683,0.812989284697667,0.99594140314948
"AC204887.4_FG003",0.0495784067495105,-0.463347756447061,1.95859555626474,-0.23657143250683,0.812989284697667,0.99594140314948
"GRMZM2G471814",9.93648019280297,-2.74475853270439,1.58810026926409,-1.72832823331506,0.0839293940362944,0.202436716904188
"GRMZM2G330436",276.795090782569,-0.690115944875371,0.374731540601637,-1.84162759229549,0.0655296421456948,0.165430272947201
"GRMZM2G032104",805.862566167183,0.774630272608067,0.34408397539778,2.25128261701973,0.0243676430681279,0.0726664702604403
