,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GRMZM2G110345,235.9208101,-0.40535517,0.505285998,-0.802229175,0.422420403,0.686387811
GRMZM2G410991,1015.598842,5.905504166,0.910929879,6.482940458,9.00E-11,1.18E-09
GRMZM2G110616,0.33683746,0.145430937,1.958595556,0.074252664,NA,NA
GRMZM2G465806,2.68731032,-2.666765111,1.692063497,-1.576043166,0.115015856,0.260510494
GRMZM2G048740,1295.84698,-0.124762188,0.32585171,-0.382880263,0.701808546,0.925213809
GRMZM2G093286,0,NA,NA,NA,NA,NA
GRMZM2G119499,0,NA,NA,NA,NA,NA
GRMZM2G096269,0.080503692,0.145430937,1.958595556,0.074252664,0.940809342,1
GRMZM2G096247,0.851351881,2.796353903,1.967499565,1.421272946,NA,NA
GRMZM2G096153,81.19984614,3.785272707,0.818353391,4.625474459,3.74E-06,2.64E-05
GRMZM2G092592,11.68080457,5.405494412,1.837879231,2.941158657,0.00326987,0.012645496
GRMZM2G092481,143.4078977,-1.714116542,0.399235572,-4.293496524,1.76E-05,0.000110766
GRMZM2G173372,20.49460854,0,1.92557743,0,NA,NA
GRMZM2G075701,146.9802594,-1.010632142,0.44482355,-2.271984343,0.023087456,0.069400898
GRMZM2G075870,0.115532487,0,1.958595556,0,1,1
GRMZM2G075901,7.219014305,-5.214959219,1.389341316,-3.753547929,0.000174349,0.000906448
GRMZM2G399311,14.78356026,3.118011393,0.93974045,3.317949538,0.000906809,0.004035556
GRMZM2G056488,107.8975015,-0.045293791,0.348646312,-0.129913294,0.896635026,1
GRMZM2G056377,771.6744771,1.626044358,0.524299514,3.101365372,0.001926304,0.007904843
GRMZM2G475168,0.692878935,-1.827459891,1.964877897,-0.930062827,0.352338556,0.607208684
GRMZM2G176523,91.15239825,-1.151237119,0.535815419,-2.148570341,0.031668475,0.090673337
GRMZM2G176499,409.8150439,-0.181133552,0.264379432,-0.685127245,0.493263629,0.757828314
GRMZM2G475059,297.5831582,3.446379417,1.493033111,2.308307425,0.020982044,0.063981031
GRMZM2G176397,2269.686352,-0.128750668,0.377540342,-0.341024928,0.733084815,0.948341516
GRMZM2G474973,18.04150486,-1.849095,1.315045754,-1.406106969,0.159692363,0.337364621
GRMZM2G176131,0,NA,NA,NA,NA,NA
AC155624.2_FG006,148.5282019,0.90900863,0.46612722,1.950129902,0.051160638,0.13506731
GRMZM5G833774,431.3715544,0.569580721,0.333267815,1.709078091,0.087436485,0.209242141
GRMZM5G891266,353.7772686,-0.709633395,0.374217723,-1.896311564,0.057918858,0.149523528
AC155624.2_FG011,275.4333097,-2.108870478,0.371751672,-5.672793532,1.40E-08,1.42E-07
GRMZM2G018417,3797.702742,-0.060709238,0.417517771,-0.14540516,0.884390991,1
GRMZM2G018410,7.334358299,0.584684147,1.201534955,0.486614347,0.626531655,0.873394933
GRMZM2G018579,13.96027951,-2.104938141,1.121074803,-1.877607218,0.060434918,0.154794442
GRMZM2G018706,199.1694268,1.20440946,0.383390891,3.14146603,0.001681043,0.007006576
GRMZM2G068265,6.170510932,0.95758189,1.107840882,0.864367713,0.387385923,0.647982929
GRMZM2G068336,24.22828039,-1.763904285,0.604149719,-2.919647611,0.003504274,0.013445284
GRMZM2G157510,125.5344663,1.752478538,0.369869195,4.738103536,2.16E-06,1.59E-05
GRMZM2G703478,0.140169542,0,1.958595556,0,1,1
GRMZM2G152172,0.519432816,-0.70010757,1.960992519,-0.357016951,0.721079116,0.939752477
GRMZM2G009014,92.82249738,-2.390653099,0.359272915,-6.654142302,2.85E-11,3.94E-10
GRMZM2G172758,275.0283256,1.615996461,0.451067749,3.582602537,0.000340188,0.001663505
GRMZM2G172751,4.242021588,0,1.857344436,0,1,1
AC194863.3_FG007,19.38148624,0.025407961,0.835554181,0.030408514,0.975741254,1
AC194863.3_FG006,0,NA,NA,NA,NA,NA
GRMZM2G472167,2.667777417,-1.628192112,1.970305149,-0.826365455,0.408596813,0.671856086
AC194863.3_FG004,0,NA,NA,NA,NA,NA
GRMZM2G171181,6427.42716,0.284873478,0.205761101,1.384486556,0.166209522,0.348055387
GRMZM2G171324,712.9419918,0.099163266,0.392741947,0.252489623,0.800662634,0.990980242
GRMZM2G171333,35.38179111,-1.86732727,0.747203647,-2.499087467,0.012451357,0.040865566
GRMZM2G474258,45.050586,-1.453679252,1.105290796,-1.315200721,0.188442453,0.383661597
GRMZM2G323830,9.71846979,0,1.958921275,0,NA,NA
GRMZM2G062946,0,NA,NA,NA,NA,NA
GRMZM2G057694,1.33348817,0,1.958595556,0,NA,NA
GRMZM2G066805,0,NA,NA,NA,NA,NA
GRMZM2G066860,8.705243736,-0.813506893,1.283029155,-0.634051759,0.526047044,0.788231592
GRMZM2G046888,43.73429425,-1.446446312,0.992510854,-1.457360699,0.14501684,0.31295849
