"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRMZM2G059865",7092.21680622905,1.17805766743388,0.336498610465995,3.50092877293748,0.000463639742085451,0.00220213273655429
"GRMZM5G888250",61.4652426741119,-5.54430156234342,1.35751500501014,-4.0841549020683,4.42375151607763e-05,0.00025888097538631
"GRMZM2G093344",155.127248931398,0.024523927155997,0.752242345525368,0.0326010989701323,0.973992693446216,1
"GRMZM2G093399",233.026026456455,-0.633148170167051,1.25000959907984,-0.506514646474014,0.612495410370342,0.862003944421143
"GRMZM5G809743",204.40331335837,2.74048539824663,1.13319270047828,2.41837544231441,0.0155899819937311,0.0495630514591731
"GRMZM5G833153",165.561968427443,2.78053103277657,1.03589331779716,2.68418666768641,0.00727064990698107,0.0256021303156616
"GRMZM2G306216",6.80405871203076,-0.2528236242373,0.983101234277668,-0.25716947087658,0.797047950308555,0.988710397442016
"AC177838.2_FG015",23.8772905717137,4.36795919006617,1.22382009098812,3.56911871461388,0.000358184101616135,0.00174302434682416
"GRMZM2G104572",4.0310194932648,-1.84123225892737,1.66479373127166,-1.10598221529879,0.268734217209158,0.501425470641879
"GRMZM5G822187",2.34320188761073,-1.10253433690379,1.30734093598017,-0.84334109531816,0.399037705495769,0.661376124423989
"GRMZM5G815900",0,NA,NA,NA,NA,NA
"GRMZM2G023794",38.4377973620717,-0.831246252773946,1.18245129762939,-0.702985615086601,0.482064714126297,0.747117932065721
"GRMZM2G023863",121.174349023165,1.46210806833051,0.409182791198337,3.57323939271386,0.000352592140439129,0.0017185524568902
"GRMZM2G137648",0,NA,NA,NA,NA,NA
"GRMZM2G137697",0,NA,NA,NA,NA,NA
"GRMZM2G408834",124.838648513299,-2.74849672185757,0.788877944479388,-3.48405826413541,0.000493871963170877,0.00233218748401409
"GRMZM2G108663",0.0857315045350747,-0.251189704269824,1.95859555626474,-0.128249910231018,0.897951203500034,1
"AC204887.4_FG003",0.0495784067495105,-0.251189704269824,1.95859555626474,-0.128249910231018,0.897951203500034,1
"GRMZM2G471814",9.93648019280297,-1.31491236500925,1.57977568339057,-0.832341185418896,0.405216389709408,0.668073027764499
"GRMZM2G330436",276.795090782569,-0.639194570420697,0.376557903592924,-1.69746688177788,0.0896084272655414,0.213426433699395
"GRMZM2G032104",805.862566167183,-0.222088670773492,0.345154035243386,-0.64344799161014,0.5199334513952,0.783215172122063
"GRMZM2G333069",0,NA,NA,NA,NA,NA
"GRMZM2G399700",273.406504708589,0.488823519352851,0.635113682166012,0.769663027390233,0.441499807233466,0.706546169260296
"GRMZM2G703460",0,NA,NA,NA,NA,NA
