"","SP_1","SP_2","SP_3","EC_1","EC_2","EC_3","Zy12_1","Zy12_2","Zy12_3","Zy24_1","Zy24_2","Zy24_3","AC_1","AC_2","AC_3","BC_1","BC_2","BC_3"
"GRMZM2G026900",2096,2644,2211,1004,995,819,735,819,549,842,747,636,481,333,326,299,281,286
"GRMZM2G041701",262,643,407,215,198,165,627,601,821,670,1046,563,693,531,431,537,312,397
"GRMZM2G139680",9,26,4,819,394,395,555,791,572,923,996,1426,574,340,270,509,452,348
"GRMZM2G498141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GRMZM2G024025",0,0,0,6,1,1,8,16,11,11,4,13,9,6,1,1,9,2
"GRMZM2G302322",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"AC211658.4_FG002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G118870",785,1185,830,545,1574,1025,835,2101,817,1451,1553,1513,2506,1490,1289,1539,1123,1475
"GRMZM5G830457",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"AC195367.3_FG001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G323971",2,11,5,7,9,12,8,7,0,10,2,7,24,8,9,11,19,10
"GRMZM2G156357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G155432",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G575038",0,0,6,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G054687",68,201,124,0,146,73,24,49,8,11,55,0,16,31,9,0,2,11
"GRMZM2G054655",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G054548",3,10,7,5,26,64,2,27,6,4,3,1,12,6,8,6,11,20
"GRMZM2G356639",5,19,17,0,13,30,28,2,1,7,6,1,3,18,9,8,10,0
"GRMZM5G897825",0,2,1,0,1,4,0,1,0,0,0,0,2,8,1,0,6,0
"GRMZM5G862016",0,0,0,0,19,27,46,52,9,15,14,1,12,22,31,9,17,26
"GRMZM2G127690",0,0,0,0,8,13,7,3,2,3,10,6,2,0,1,0,1,3
"GRMZM5G806336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC217811.3_FG002",4,11,3,0,0,0,5,9,8,0,12,0,0,10,3,0,3,0
"AC217811.3_FG003",143,264,227,168,0,5,244,214,52,165,179,66,92,224,78,35,67,112
"GRMZM2G165483",1919,2764,1958,873,8563,6968,1239,1533,855,1289,1519,983,763,438,511,682,628,526
"GRMZM2G418258",251,459,321,5,2,19,125,100,177,1092,1584,1224,491,558,200,369,666,387
"GRMZM2G300916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G469873",0,0,0,2,0,5,541,277,341,386,580,532,360,302,130,255,371,221
"AC198752.4_FG004",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"GRMZM5G807791",2,11,7,172,15,7,499,416,383,448,407,487,259,357,206,128,282,208
"GRMZM2G014356",0,0,0,0,0,0,18,2,0,0,0,0,0,1,1,0,1,0
"GRMZM2G375302",21,27,26,4,2,5,19,15,2,16,14,16,105,67,104,73,51,67
"GRMZM2G120784",187,138,257,973,400,853,866,1210,508,467,671,878,619,480,374,544,370,258
"GRMZM2G350633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM5G811633",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
"GRMZM2G056442",0,0,0,44,206,309,11,32,5,24,63,15,134,0,35,0,4,0
"GRMZM2G021225",1050,1133,1357,326,700,656,117,241,54,180,165,82,320,225,250,157,189,102
"GRMZM2G170826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G170842",0,18,0,4,0,20,137,231,115,81,162,34,26,311,71,125,161,269
"GRMZM2G106618",0,3,0,0,0,5,2,0,1,0,0,1,0,1,0,0,0,1
"GRMZM2G429992",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"GRMZM2G130018",185,215,153,1463,1925,2636,1687,2435,1218,1335,2114,1530,4311,4052,4807,4039,3726,3302
"GRMZM2G059167",108,152,185,387,369,834,304,894,359,390,815,575,1768,1027,1635,1348,1078,1046
"GRMZM2G140016",454,494,348,664,135,322,383,998,591,739,761,892,455,362,294,151,237,223
"AC185522.2_FG002",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"GRMZM2G134563",4,0,0,373,216,607,247,389,203,405,158,309,166,165,131,179,171,181
"GRMZM2G072115",0,0,0,29,0,1,42,49,46,29,48,34,3,6,26,1,10,2
"GRMZM2G171080",687,969,698,1390,2009,1820,1591,2051,959,944,995,1051,749,1682,1064,2394,993,1508
