"","SP_1","SP_2","SP_3","EC_1","EC_2","EC_3","Zy12_1","Zy12_2","Zy12_3","Zy24_1","Zy24_2","Zy24_3","AC_1","AC_2","AC_3","BC_1","BC_2","BC_3"
"GRMZM2G059865",5236,4191,4969,4461,3221,10428,2977,4593,2071,5043,4562,4819,17608,12338,13796,15291,9384,12161
"GRMZM5G888250",6,0,1,0,0,0,54,29,0,49,60,29,249,60,94,373,181,208
"GRMZM2G093344",196,322,193,18,85,141,94,55,109,227,165,12,247,83,197,191,137,83
"GRMZM2G093399",2,7,0,495,0,0,287,545,261,308,357,322,617,484,419,342,348,366
"GRMZM5G809743",533,586,683,0,62,43,11,6,0,4,14,18,42,18,66,34,22,0
"GRMZM5G833153",481,367,632,10,16,61,1,14,0,17,8,0,5,3,13,3,7,0
"GRMZM2G306216",8,8,0,8,1,4,11,7,2,19,22,12,7,4,2,6,9,4
"AC177838.2_FG015",14,12,9,0,28,66,0,4,0,10,9,0,73,75,113,14,40,16
"GRMZM2G104572",0,31,4,0,1,1,7,0,4,1,0,0,1,0,1,0,1,3
"GRMZM5G822187",0,1,0,2,3,4,19,6,1,1,1,1,0,2,0,1,1,4
"GRMZM5G815900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G023794",3,0,0,0,0,8,2,1,11,24,23,63,190,49,31,198,102,166
"GRMZM2G023863",50,83,95,125,102,214,89,85,25,82,115,113,270,145,93,224,200,233
"GRMZM2G137648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G137697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G408834",0,0,0,39,1,5,116,114,159,140,173,58,439,359,388,192,383,269
"GRMZM2G108663",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"AC204887.4_FG003",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G471814",4,4,3,26,0,0,51,61,2,1,14,5,0,0,11,0,13,7
"GRMZM2G330436",343,573,413,237,73,136,269,397,215,254,278,255,233,179,230,141,159,63
"GRMZM2G032104",78,38,33,749,471,606,717,1279,699,1099,1206,1190,2293,1596,1626,1344,1604,1193
"GRMZM2G333069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G399700",96,104,101,40,108,350,164,116,109,173,325,35,795,563,655,890,632,471
"GRMZM2G703460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G474694",0,1,0,267,1,1,234,259,163,178,166,162,279,170,117,113,196,123
"GRMZM2G172183",0,10,12,67,19,46,39,19,46,47,80,72,100,45,66,95,84,82
"GRMZM2G073979",28,14,14,90,429,491,744,1252,591,1075,1297,919,1920,1816,1807,1428,1331,828
"GRMZM2G374777",0,0,1,22,1,8,2,8,13,10,18,5,2,3,3,3,1,0
"GRMZM2G374779",15,15,17,203,2388,1448,179,211,23,232,340,128,208,661,820,182,388,255
"GRMZM2G374812",0,0,0,7,68,34,5,31,0,31,18,12,27,69,11,13,30,13
"GRMZM2G052586",0,0,0,35,3,7,148,134,135,131,243,94,70,249,54,21,64,62
"GRMZM2G483779",73,71,93,101,35,13,152,159,224,143,136,129,94,224,232,110,104,89
"GRMZM2G002121",140,154,127,1489,1538,1635,790,1015,615,725,619,975,463,351,258,364,338,242
"GRMZM2G026639",761,855,790,1027,1253,1743,897,1289,755,2471,2723,2993,2643,1917,1857,1500,1563,1536
"GRMZM2G058632",0,0,0,1,0,0,0,5,1,2,1,0,8,10,11,6,12,22
"GRMZM2G367714",0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,0,1,2
"GRMZM2G097229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G474194",0,0,0,0,0,0,5,1079,0,1,4,0,0,0,5,0,0,1
"GRMZM2G703462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G161483",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"GRMZM2G161540",0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0
"AC193500.3_FG003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G161560",15731,16897,16296,965,608,509,1743,1303,1217,1650,1632,1495,5447,4148,3092,3215,3324,3077
"GRMZM2G079891",11,0,0,0,0,0,71,68,1,79,63,14,85,78,83,39,73,45
"GRMZM2G379898",0,0,0,0,0,0,1,530,2,2,2,5,0,0,0,0,0,0
"GRMZM2G060265",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GRMZM2G361164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G060296",17765,16972,17671,9286,10734,19670,9019,15529,8190,16060,15481,13535,16572,13832,14551,16643,11808,13572
"GRMZM2G176952",65,134,150,5,32,140,12,17,6,29,23,5,35,19,11,25,38,39
"GRMZM2G164696",586,278,658,399,315,2126,1100,1160,1128,8227,8256,8443,2370,2097,2011,2571,2304,1980
"GRMZM2G703466",270,407,427,54,336,287,86,86,3,125,70,0,389,162,434,721,343,180
"GRMZM2G114469",10,17,23,76,0,3,36,1,0,0,2,20,15,3,5,9,2,2
"GRMZM2G114459",1169,1961,1855,692,880,1556,542,1090,535,861,679,602,3442,2708,3524,1820,1705,1389
"GRMZM2G458423",33,81,103,0,0,8,5,3,0,4,28,30,201,62,83,31,56,95
"GRMZM2G109725",220,161,237,61,104,193,186,56,239,584,311,289,1711,1083,1434,1344,1098,1029
"GRMZM2G410990",4,3,24,23,0,105,8,0,7,44,12,4,90,74,48,65,90,88
"GRMZM2G158378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G459354",2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"GRMZM2G329177",48,0,5,589,800,1097,348,641,285,647,849,848,3220,1366,1963,3178,2064,1376
"GRMZM2G028870",0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,45,0,0
"GRMZM2G052546",2081,2729,2536,704,1601,1656,859,676,623,700,1427,246,524,1369,1291,148,1067,411
"GRMZM2G035377",0,5,0,70,1,39,303,292,152,131,94,175,48,60,46,119,104,153
"GRMZM2G085691",50,160,64,365,113,397,378,724,375,619,610,607,590,237,355,186,232,161
"GRMZM2G388684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G085827",149,125,72,276,274,228,196,366,165,613,965,778,754,432,257,255,275,299
"GRMZM2G085872",0,5,7,641,141,278,265,452,151,338,175,346,110,89,101,118,72,131
"GRMZM2G085885",56,2,70,669,2226,1639,397,834,340,895,887,659,483,168,246,350,230,174
"GRMZM2G086242",0,2,0,19,1,0,0,2,4,3,9,5,12,2,16,0,0,6
"GRMZM2G086269",0,0,5,0,0,10,29,9,15,11,20,3,4,2,1,0,6,7
"GRMZM2G042552",18,43,32,883,163,470,739,864,550,707,620,753,260,418,369,301,326,288
"GRMZM2G042539",0,0,2,15,9,7,27,11,21,16,37,52,9,2,6,11,10,8
"GRMZM2G042250",48,29,34,89,220,126,150,554,233,366,324,340,759,356,560,460,382,300
"GRMZM2G041881",45,45,64,1211,6604,4109,1687,2087,1193,3680,3613,2678,5891,3585,4176,4540,3810,4890
"GRMZM5G802392",144,323,221,1473,464,676,1770,2097,1885,1290,1707,2734,345,450,307,369,646,407
"GRMZM2G006673",402,435,395,1294,269,2338,579,1361,405,936,1156,1113,2881,1393,1069,1692,1155,1403
"GRMZM2G007025",165,265,192,172,27,99,767,865,896,545,828,621,161,407,242,65,283,144
"GRMZM2G015384",68,200,196,1549,2784,2355,960,1388,829,2205,2221,2372,6659,3530,5211,5493,3485,4062
"GRMZM2G436286",2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
"GRMZM2G137366",320,637,503,317,683,638,593,890,439,696,1248,800,1062,678,859,775,749,853
"GRMZM2G137352",3,0,1,0,0,0,4,55,1,0,0,0,3,28,10,0,2,6
"GRMZM2G137329",0,0,0,0,0,0,0,0,3,21,13,10,0,9,5,1,14,8
"GRMZM2G137236",3131,3799,3932,941,272,604,840,1841,695,1539,1354,1438,3918,2308,3751,3101,2838,2863
"GRMZM2G436226",8,11,16,10,29,19,1,2,47,1,4,2,78,67,100,59,44,72
"GRMZM2G314660",0,0,1,0,0,0,34,13,24,9,16,7,10,0,6,2,2,0
"GRMZM2G092232",24,81,58,92,128,139,116,42,86,768,250,368,423,308,364,209,321,764
"GRMZM2G393062",0,0,0,10,0,2,92,22,40,26,40,69,11,10,12,4,35,26
"GRMZM2G092165",0,0,4,266,109,136,353,352,276,341,345,410,236,123,108,112,176,166
"GRMZM2G124550",39,132,45,0,13,107,0,61,2,31,50,6,263,226,268,416,254,103
"GRMZM2G144197",0,0,0,0,0,0,11,9,5,1,5,0,0,2,3,1,8,1
"GRMZM2G144101",2239,2873,2269,1007,592,3423,686,1108,218,843,1110,1181,485,949,728,1546,1497,926
"GRMZM2G077615",0,0,0,119,167,204,268,249,187,284,219,262,115,86,95,74,84,126
"GRMZM2G077669",3,21,0,508,442,497,1332,1379,772,1192,1339,981,547,680,520,780,793,617
"GRMZM2G077760",2,1,3,68,39,36,262,210,254,242,279,416,76,47,36,73,108,91
"GRMZM2G077769",0,0,0,5,0,0,1,1,0,2,4,0,0,2,2,1,1,1
"GRMZM2G077780",28,47,63,355,34,204,632,568,137,469,373,506,1072,800,1156,935,1139,1000
"GRMZM2G126199",0,0,4,24,32,7,51,54,47,41,90,153,86,55,35,18,45,28
"GRMZM2G126218",9,4,10,77,9,36,53,100,96,94,58,17,92,22,1,32,50,15
"GRMZM2G426802",38,36,51,57,207,136,93,257,122,202,169,172,186,190,225,84,167,192
"GRMZM2G440537",216,223,138,4,7,23,42,46,53,29,3,13,24,17,26,5,23,12
"GRMZM2G440562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G055880",0,1,5,1670,968,1158,1375,1602,1096,1676,2014,1956,1072,663,518,1027,738,695
"GRMZM2G055698",0,27,3,4,24,4,113,23,69,69,101,61,3,26,14,22,35,27
"GRMZM2G703469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G062210",58,64,23,1487,1931,1864,1748,2116,1183,2981,3168,2953,1355,768,657,956,845,671
"GRMZM2G044388",756,1388,1092,287,394,410,516,483,451,483,479,637,255,300,134,118,202,249
"GRMZM2G044247",0,13,0,0,0,0,6,3,1,1,0,2,0,0,0,0,10,2
"GRMZM2G088482",0,0,0,2,1,14,4,1,28,3,0,0,5,30,0,17,14,0
"GRMZM2G029713",0,0,0,0,0,0,0,11,8,0,4,0,0,2,0,0,0,0
"GRMZM2G029824",22,0,0,55,32,27,40,42,20,71,59,81,19,26,21,27,10,54
"GRMZM2G320099",7,23,15,156,118,47,305,116,160,172,227,441,325,153,87,185,135,95
"GRMZM2G030173",0,2,0,472,7,14,462,350,345,396,409,813,78,79,27,138,173,124
"GRMZM2G030299",6,0,0,727,490,1220,271,334,98,348,234,377,140,55,50,256,170,107
"GRMZM2G320111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G030567",0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0,1,0
"GRMZM2G320117",1,1,1,0,0,0,35,0,6,0,2,15,0,2,2,1,3,0
"GRMZM2G085909",1,8,10,1325,1699,1344,1836,2839,1683,4074,4767,4953,3303,2109,2081,1962,1941,1915
"GRMZM2G008327",82,121,68,543,501,504,418,670,245,820,767,484,1064,807,577,940,997,856
"GRMZM2G008710",191,220,158,321,193,342,295,697,345,585,588,405,178,167,160,73,168,102
"GRMZM2G008773",0,1,1,1,0,0,32,2,6,116,69,73,70,58,9,141,32,76
"GRMZM2G308570",706,682,876,243,310,546,294,206,177,381,348,337,2247,953,990,1213,995,728
"GRMZM2G087207",1136,1422,1376,140,788,645,1265,1125,1008,1223,954,814,892,855,1710,927,880,603
"GRMZM2G387837",2,3,0,3,242,186,44,96,56,175,68,173,235,25,109,71,81,90
"GRMZM2G013634",4374,4995,4814,390,297,434,342,798,363,812,735,673,1374,716,872,734,759,801
"GRMZM2G312438",272,363,324,151,763,845,103,33,29,232,193,114,283,236,199,90,109,69
"GRMZM2G013986",0,0,0,3,0,4,131,137,81,87,124,134,13,43,70,31,93,54
"GRMZM2G014382",810,1061,894,2875,5985,6635,2425,3708,1941,4118,3769,3385,3498,2107,2243,2609,2200,2541
"GRMZM2G344566",0,0,1,0,0,1,2,1,1,0,0,0,8,10,3,15,6,11
"GRMZM2G453794",1504,2717,2225,3669,3268,4178,5316,8925,6384,7033,6913,7625,6081,5634,6299,3696,3822,3593
"GRMZM2G167568",0,2,0,119,35,59,45,209,55,65,93,34,149,33,103,100,57,25
"GRMZM2G181153",16457,15804,17119,463,3,426,1323,2094,991,4284,6027,6126,1157,2388,2334,3407,3548,1954
"GRMZM2G406204",5486,7454,5492,499,451,1319,158,416,141,249,191,212,457,236,299,227,161,162
"GRMZM2G169402",332,496,424,194,260,616,351,328,271,197,271,415,151,64,57,80,101,27
"GRMZM2G473389",58,48,18,18,1,2,2,1,0,0,0,0,6,0,1,4,4,0
"GRMZM2G049031",15466,20799,18196,2092,10797,8838,1493,3007,1023,2768,2183,2264,2498,1464,1664,2733,1939,1920
"GRMZM2G104468",22,8,5,577,64,187,67,239,90,124,168,273,31,88,58,115,119,46
"GRMZM2G303810",1,0,0,0,0,12,6,0,17,0,3,0,12,10,7,12,17,3
"GRMZM2G136859",2,0,0,0,0,0,0,13,11,12,28,47,67,78,14,8,2,25
"GRMZM2G082227",0,0,0,0,0,0,18,3,35,7,29,63,4,8,1,0,7,1
"GRMZM2G341934",1,4,0,0,0,0,160,289,73,130,139,86,12,39,28,3,52,16
"GRMZM2G040762",483,808,474,469,633,920,837,942,800,1114,1154,840,2940,3880,4384,2122,2797,2074
"GRMZM2G105415",33,49,45,67,0,101,37,55,166,118,267,155,31,423,393,136,152,13
"GRMZM2G105436",5,5,10,75,62,88,155,308,116,201,183,279,33,38,18,82,49,68
"GRMZM2G475289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G475296",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"GRMZM2G176820",120,185,181,141,93,62,56,144,89,102,161,171,35,33,13,37,40,32
"GRMZM2G176840",1349,2546,1635,221,95,162,264,247,159,290,379,433,116,202,75,46,83,55
"GRMZM2G475380",0,0,0,0,0,0,29,17,32,45,54,37,5,28,19,7,47,12
"GRMZM2G026223",1865,1210,1410,1236,351,1456,1317,1829,985,1528,1081,1274,1543,1945,1473,1263,819,1107
"GRMZM2G070047",412,850,580,2514,799,693,1827,2489,1170,2152,1938,2261,880,1209,904,1020,1024,737
"GRMZM2G070242",1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"GRMZM2G070259",23,18,2,260,259,629,448,635,363,627,694,688,1357,580,529,642,637,636
"GRMZM2G159427",1882,2924,2183,166,255,324,1296,1204,1080,409,727,749,381,390,364,237,287,150
"GRMZM2G159431",47,98,82,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0
"AC194428.3_FG006",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G461777",3,3,1,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0
"AC194428.3_FG007",3,2,10,0,0,2,16,0,7,0,4,4,5,2,0,1,2,5
"GRMZM2G159470",338,714,522,0,5,4,0,0,0,0,0,0,1,1,0,0,0,0
"GRMZM2G159477",747,1232,847,140,3,36,1078,582,2256,1048,1599,801,216,556,391,122,391,183
"GRMZM2G327059",0,0,0,0,0,0,0,0,6,1,8,1,0,7,0,0,12,0
"GRMZM2G165422",0,0,0,0,0,0,28,162,39,13,9,35,0,0,0,0,0,5
"GRMZM2G465680",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM5G838828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G165362",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"GRMZM2G119736",0,0,0,108,399,468,1797,2305,1593,2206,3129,2854,686,660,671,790,1077,949
"GRMZM2G552966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G119494",6,12,6,168,24,39,13,2,3,7,4,57,0,7,0,2,1,0
"GRMZM2G119471",69,131,98,5,3,0,23,24,16,32,18,59,19,26,5,8,15,19
"GRMZM2G090051",3,5,3,22,2,10,33,96,86,33,75,45,7,43,13,4,19,17
"GRMZM2G089976",2994,3523,3258,717,823,1992,433,1204,315,1373,1373,1116,2898,2230,2408,3306,2185,2604
"GRMZM2G089860",3588,5032,4626,793,448,842,513,1199,512,1075,1159,1140,469,345,397,409,379,318
"GRMZM2G176604",4,5,5,53,11,35,331,411,213,474,528,531,277,186,174,197,120,189
"GRMZM2G176585",17,28,12,16,34,107,31,28,8,24,23,21,20,36,16,8,17,12
"GRMZM2G176558",0,2,2,318,653,1025,748,718,301,641,685,397,215,338,214,86,217,178
"GRMZM2G176548",2,1,0,11,3,2,483,115,784,136,459,94,27,64,12,9,84,27
"GRMZM2G476107",34,94,41,300,167,168,340,410,270,454,487,523,558,276,140,253,399,189
"GRMZM2G176521",0,0,0,26,30,14,0,28,10,9,1,35,20,0,2,30,12,0
"GRMZM2G055737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G055704",0,0,0,8,8,13,18,29,4,17,5,7,0,1,0,1,2,2
"GRMZM2G055575",45,107,80,1214,1282,1799,948,1168,1010,1025,1058,712,478,391,273,245,374,360
"GRMZM2G177508",0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
"GRMZM2G325462",0,0,0,0,0,0,9,0,26,8,3,4,0,0,6,0,5,0
"GRMZM2G025552",114,115,136,122,26,252,227,312,88,172,151,164,201,163,131,161,194,160
"GRMZM2G025642",4,9,4,17,0,0,0,4,2,2,1,7,0,0,0,0,0,0
"AC217946.3_FG005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G319022",529,621,587,119,458,1358,247,550,183,352,168,154,2401,1256,2387,1852,1757,1768
"GRMZM2G428184",10,20,12,0,0,9,442,102,380,262,309,109,14,184,10,19,29,20
"GRMZM2G129243",6035,11493,8573,125,477,321,284,760,289,169,167,323,829,478,573,493,197,633
"GRMZM2G371137",25,44,21,0,0,16,349,228,136,256,223,85,29,437,98,105,94,29
"GRMZM2G040158",795,1622,1144,217,124,206,387,944,443,598,556,785,465,305,356,227,331,221
"GRMZM2G105571",12,10,7,4280,7786,10416,5420,6922,4364,8620,9402,9663,5736,3788,3294,4827,4051,4386
"GRMZM2G065718",0,0,0,0,0,0,20,24,19,12,14,23,0,2,1,5,7,1
"GRMZM2G180951",74,162,135,76,35,51,821,334,366,1162,528,267,687,1633,3846,111,1465,442
"GRMZM2G057778",5,15,29,0,0,0,0,0,0,0,0,0,57,108,339,0,169,0
"GRMZM2G341918",10,32,49,0,1,0,1,0,11,32,0,49,42,109,581,19,209,1
"GRMZM2G086707",4,18,11,11,0,0,14,10,2,4,7,1,71,52,43,57,43,45
"GRMZM2G448701",2,2,2,0,0,0,33,7,52,355,352,472,127,69,32,222,104,229
"GRMZM2G143588",127,130,203,479,766,1763,625,1230,784,1313,1430,883,2681,1819,2099,2073,1282,1194
"GRMZM2G032852",21,0,0,265,185,296,727,578,881,1962,1581,933,1424,6751,4343,695,4206,2275
"GRMZM2G321053",0,0,0,0,0,0,27,9,10,29,44,16,1,41,20,20,20,16
"GRMZM2G321041",0,0,0,0,1,0,69,7,168,13,18,11,0,5,3,0,8,0
"GRMZM2G032409",31,22,27,1012,1469,1452,1593,1725,1195,2163,1920,2076,2022,1708,1803,1793,1600,1520
"GRMZM2G032219",1780,2458,2281,1,1,14,53,48,46,36,48,54,17,14,10,10,20,13
"GRMZM2G031859",2167,2702,3974,1289,1182,3731,1009,2247,589,2130,2639,1687,2091,1948,3098,2552,3164,2009
"GRMZM5G826824",0,3,1,28,1,14,21,103,81,17,72,55,7,28,12,1,19,8
"GRMZM5G812553",614,928,817,102,71,153,100,190,83,188,198,166,75,43,43,53,54,30
"GRMZM2G014366",24,28,12,208,114,202,1053,1269,758,1414,1481,1639,887,589,508,559,422,634
"GRMZM5G899119",57,73,52,51,279,574,89,129,46,135,72,32,88,66,34,43,56,38
"GRMZM2G013730",77,164,119,77,206,254,163,154,84,168,178,207,260,156,93,164,227,225
"GRMZM5G881029",0,0,0,14,72,92,52,36,3,29,34,22,16,17,6,0,25,11
"GRMZM2G022907",0,0,0,2,0,0,70,9,64,19,47,10,1,3,1,0,7,5
"GRMZM5G841360",0,8,1,33,25,19,28,37,17,41,36,40,46,26,11,22,33,18
"GRMZM5G845611",0,0,0,0,0,0,116,50,41,28,26,19,5,0,0,0,3,9
"GRMZM2G008064",0,0,0,2,0,1,31,43,17,24,11,34,1,3,7,0,10,2
"GRMZM2G008122",0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0
"GRMZM5G857724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM5G887276",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G137312",1,2,1,679,331,470,614,818,424,734,669,1073,511,404,234,454,596,411
"GRMZM2G137367",0,3,2,4,1,2,6,5,3,6,7,3,1,2,1,4,4,2
"GRMZM2G137374",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G137380",1,4,0,0,0,1,0,3,0,0,2,1,0,1,0,0,2,0
"GRMZM2G092813",0,1,0,0,0,0,1321,710,1439,130,527,224,9,355,3,10,55,3
"GRMZM2G392863",0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"GRMZM2G092916",69,56,101,12,23,49,0,0,0,5,7,0,2,14,13,5,3,36
"GRMZM2G092923",311,612,433,469,247,230,294,439,223,642,507,576,398,269,194,241,274,376
"GRMZM2G392956",383,384,369,230,413,378,909,1042,768,932,937,679,252,775,666,598,993,404
"GRMZM2G089056",1,3,3,22,11,17,42,6,27,21,13,31,4,4,2,5,10,3
"GRMZM2G089092",197,420,493,252,172,613,327,509,146,511,387,263,982,630,735,755,561,763
"GRMZM2G020548",446,823,567,131,133,111,124,301,110,301,298,194,328,279,407,310,298,175
"GRMZM2G409997",1,0,0,0,0,0,0,1,0,1,1,2,0,2,0,2,0,2
"GRMZM2G109566",38,11,21,7,12,6,34,49,10,47,44,35,1,16,5,2,10,30
"GRMZM2G409976",0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0
"GRMZM2G109509",0,0,37,192,33,129,135,325,151,540,292,111,210,663,798,91,302,153
"AC191330.3_FG001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G090568",1,5,0,0,0,0,1,28,2,1,4,0,1,1,0,0,9,0
"GRMZM2G090738",0,6,2,792,6733,4235,944,1160,528,2207,1992,1755,4134,2010,2693,2942,1956,2221
"GRMZM2G057158",348,743,584,2399,949,1040,1652,3687,1486,2508,2292,2440,1980,1874,1673,1023,1359,776
"GRMZM2G040887",143,258,202,673,466,389,609,780,370,605,717,971,1570,997,935,1206,1127,979
"GRMZM2G132019",265,422,414,831,274,1192,880,835,900,912,831,1064,452,452,248,469,364,323
"GRMZM2G071349",4,8,0,102,58,54,50,78,18,40,48,20,174,123,137,117,117,135
"GRMZM6G101378",1,8,0,371,203,130,244,476,212,515,353,242,523,373,397,348,305,369
"GRMZM2G007441",0,0,0,0,0,0,20,13,11,22,25,51,1,1,0,8,2,0
"GRMZM2G096020",12,0,18,332,214,220,419,441,264,177,127,258,111,94,84,113,72,108
"GRMZM2G095968",0,0,0,3,0,5,0,0,1,1,1,0,0,0,0,0,0,1
"GRMZM2G399948",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G099598",1079,1627,1202,73,13,45,70,192,33,119,96,61,101,179,77,102,134,51
"GRMZM2G099454",2,0,0,0,6,0,77,708,105,48,243,18,0,4,4,0,2,0
"GRMZM2G092719",683,1170,680,2920,2470,4472,3274,5036,2776,6960,6169,5621,13802,7580,10636,9337,6761,7800
"GRMZM2G059428",0,0,3,1,4,3,249,281,312,68,80,60,7,9,7,23,11,7
"GRMZM2G003538",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G110345",32,38,63,111,16,65,1068,1323,763,236,242,283,58,65,87,182,169,85
"GRMZM2G410991",5,4,7,3,0,50,2899,2516,3919,1348,2618,1186,631,1057,3310,260,1570,540
"GRMZM2G110616",0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0
"GRMZM2G465806",1,2,0,15,0,0,2,1,5,11,4,7,0,0,2,0,1,0
"GRMZM2G048740",2854,4516,3539,209,136,135,250,260,135,482,271,519,279,241,151,414,394,262
"GRMZM2G093286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G119499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRMZM2G096269",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"GRMZM2G096247",0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0
"GRMZM2G096153",0,0,0,1,0,29,135,143,85,133,135,162,173,265,162,213,101,130
"GRMZM2G092592",0,5,0,0,0,0,2,0,20,16,0,0,62,102,12,30,17,0
"GRMZM2G092481",115,244,174,187,159,182,167,147,68,218,154,108,137,65,43,83,66,112
"GRMZM2G173372",2,6,1,0,0,0,0,508,1,0,3,5,0,0,0,0,6,0
"GRMZM2G075701",1,4,2,28,68,134,376,421,357,387,479,627,65,59,38,72,100,75
"GRMZM2G075870",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"GRMZM2G075901",0,0,0,1,37,47,8,7,6,14,11,2,2,0,0,0,2,1
"GRMZM2G399311",0,3,1,10,0,1,4,9,1,7,2,5,71,36,59,48,28,48
"GRMZM2G056488",142,297,254,60,38,44,37,23,23,96,70,79,84,56,67,43,65,65
"GRMZM2G056377",71,66,85,584,62,273,837,1272,594,1126,1072,1376,1104,1436,1689,2118,1928,1360
"GRMZM2G475168",0,0,0,3,1,3,0,0,3,0,0,2,0,0,0,0,0,0
"GRMZM2G176523",14,22,20,193,113,149,73,82,144,164,262,152,151,78,79,19,57,84
"GRMZM2G176499",447,809,630,143,167,210,519,454,366,564,658,599,332,175,182,163,247,136
"GRMZM2G475059",0,8,0,21,0,0,873,135,1867,641,1159,212,68,198,338,4,419,107
"GRMZM2G176397",81,69,28,1994,3454,3044,1800,4119,1683,3943,4916,2638,3618,4211,3689,3300,3312,3490
"GRMZM2G474973",15,85,75,1,4,1,7,0,0,3,2,1,1,1,0,1,1,4
"GRMZM2G176131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC155624.2_FG006",0,0,0,117,50,89,305,292,99,474,236,163,250,241,226,306,353,177
"GRMZM5G833774",0,0,0,300,256,660,631,809,482,536,606,525,666,714,1145,732,860,549
"GRMZM5G891266",0,0,0,377,121,257,1264,1096,924,718,660,525,202,222,250,299,303,337
"AC155624.2_FG011",174,305,160,353,226,375,475,656,405,593,362,402,138,108,79,182,80,59
"GRMZM2G018417",559,884,671,2266,3536,11814,1819,3125,814,3103,3208,2710,9381,5749,8273,8476,6779,6908
"GRMZM2G018410",7,28,21,0,3,1,0,1,1,3,7,0,6,2,2,5,2,10
"GRMZM2G018579",0,0,0,11,24,12,25,75,16,13,32,78,0,8,6,8,3,0
